event_time,date,time,symbol,direction,option_symbol,entry_time,entry_premium,current_premium,pnl_pct,pnl_rs,lot_size,sl_premium,t1_premium,t2_premium,event_type,hold_minutes,notes
2026-05-29 12:00,2026-05-29,12:00,PETRONET,CALL,PETRONET26JUN277.5CE,2026-05-29 09:15,9.85,8.9,-9.6,-1805.0,1900,6.4,14.8,17.7,UPDATE,165,OPEN (-9.6%)
2026-05-29 12:00,2026-05-29,12:00,NTPC,CALL,NTPC26JUN397.5CE,2026-05-29 09:15,9.35,8.0,-14.4,-2025.0,1500,6.1,14.0,16.8,UPDATE,165,OPEN (-14.4%)
2026-05-29 12:00,2026-05-29,12:00,JUBLFOOD,PUT,JUBLFOOD26JUN430PE,2026-05-29 09:15,14.3,11.4,-20.3,-3625.0,1250,9.3,21.5,25.7,UPDATE,165,OPEN (-20.3%)
2026-05-29 12:00,2026-05-29,12:00,ICICIGI,CALL,ICICIGI26JUN1820CE,2026-05-29 09:15,65.65,64.35,-2.0,-423.0,325,42.7,98.5,118.2,UPDATE,165,OPEN (-2.0%)
2026-05-29 12:00,2026-05-29,12:00,BSE,CALL,BSE26JUN4200CE,2026-05-29 09:15,173.0,180.0,4.0,2625.0,375,112.5,259.5,311.4,UPDATE,165,OPEN (+4.0%)
2026-05-29 12:00,2026-05-29,12:00,MAZDOCK,PUT,MAZDOCK26JUN2480PE,2026-05-29 09:15,91.15,86.9,-4.7,-850.0,200,59.2,136.7,164.1,UPDATE,165,OPEN (-4.7%)
2026-05-29 12:00,2026-05-29,12:00,ONGC,PUT,ONGC26JUN272.5PE,2026-05-29 09:15,7.0,8.3,18.6,2925.0,2250,4.5,10.5,12.6,UPDATE,165,OPEN (+18.6%)
2026-05-29 12:00,2026-05-29,12:00,INFY,PUT,INFY26JUN1200PE,2026-05-29 09:15,32.75,34.35,4.9,640.0,400,21.3,49.1,59.0,UPDATE,165,OPEN (+4.9%)
2026-05-29 12:00,2026-05-29,12:00,LTM,PUT,LTM26JUN4150PE,2026-05-29 09:15,155.25,145.2,-6.5,-1508.0,150,100.9,232.9,279.4,UPDATE,165,OPEN (-6.5%)
2026-05-29 12:00,2026-05-29,12:00,TVSMOTOR,PUT,TVSMOTOR26JUN3420PE,2026-05-29 09:15,86.9,84.9,-2.3,-350.0,175,56.5,130.4,156.4,UPDATE,165,OPEN (-2.3%)
2026-05-29 12:00,2026-05-29,12:00,BEL,PUT,BEL26JUN415PE,2026-05-29 09:15,9.55,9.2,-3.7,-499.0,1425,6.2,14.3,17.2,UPDATE,165,OPEN (-3.7%)
2026-05-29 12:15,2026-05-29,12:15,INDUSINDBK,CALL,INDUSINDBK26JUN930CE,2026-05-26 09:15,33.3,28.75,-13.7,-3185.0,700,21.6,49.9,59.9,UPDATE,4500,OPEN (-13.7%)
