symbol,event_date,ann_time,subject,data_type,swing_pct,normal_avg_pct,is_dangerous,gap_pct
LICI,2025-07-11,20:17,Outcome of Board Meeting,daily_only,,,False,-0.195
LICI,2025-08-07,17:12,Outcome of Board Meeting,daily_only,,,True,2.26
LICI,2025-11-06,17:13,Outcome of Board Meeting,daily_only,,,True,1.551
LICI,2026-02-05,16:05,Outcome of Board Meeting,daily_only,,,False,0.905
LICI,2026-05-21,17:25,Outcome of Board Meeting,intraday_5min,0.832,0.234,True,4.349
HDFCAMC,2025-07-17,13:50,Outcome of Board Meeting,daily_only,,,False,0.326
HDFCAMC,2025-10-15,14:51,Outcome of Board Meeting,daily_only,,,False,0.45
HDFCAMC,2026-01-14,14:33,Outcome of Board Meeting,daily_only,,,False,1.024
HDFCAMC,2026-04-16,13:03,Outcome of Board Meeting,intraday_5min,3.195,0.473,True,-0.595
JIOFIN,2025-07-17,17:19,Outcome of Board Meeting,daily_only,,,False,0.739
JIOFIN,2025-07-30,17:47,Outcome of Board Meeting,daily_only,,,False,-1.03
JIOFIN,2025-10-16,18:22,Outcome of Board Meeting,daily_only,,,False,0.465
JIOFIN,2026-01-15,16:26,Outcome of Board Meeting,daily_only,,,,
JIOFIN,2026-04-17,18:20,Outcome of Board Meeting,intraday_5min,0.782,0.238,False,-0.763
TCS,2025-07-10,15:57,Outcome of Board Meeting,daily_only,,,True,-2.428
TCS,2025-10-09,15:52,Outcome of Board Meeting,daily_only,,,False,-0.382
TCS,2025-11-20,16:59,Outcome of Board Meeting,daily_only,,,False,0.0
TCS,2025-12-10,21:13,Outcome of Board Meeting,daily_only,,,False,0.495
TCS,2026-01-12,15:50,Outcome of Board Meeting,daily_only,,,False,0.167
TCS,2026-04-09,15:55,Outcome of Board Meeting,daily_only,,,False,-0.896
INFY,2025-06-02,11:09,Clarification - Financial Results,daily_only,,,False,0.335
INFY,2025-07-08,12:03,Reply to Clarification- Financial results,daily_only,,,False,-0.055
INFY,2025-07-23,15:36,Outcome of Board Meeting,daily_only,,,False,0.349
INFY,2025-10-16,16:06,Outcome of Board Meeting,daily_only,,,False,-1.128
INFY,2026-01-14,16:05,Outcome of Board Meeting,daily_only,,,True,3.994
INFY,2026-04-23,17:01,Outcome of Board Meeting,intraday_5min,1.606,0.228,True,-3.273
WIPRO,2025-07-17,15:37,Outcome of Board Meeting,daily_only,,,True,3.07
WIPRO,2025-10-16,15:42,Outcome of Board Meeting,daily_only,,,False,-1.496
WIPRO,2026-01-16,15:39,Outcome of Board Meeting,daily_only,,,True,-5.773
WIPRO,2026-01-23,15:55,Clarification - Financial Results,daily_only,,,,
WIPRO,2026-01-30,16:43,Reply to Clarification- Financial results,daily_only,,,False,-0.042
WIPRO,2026-04-16,16:26,Outcome of Board Meeting,intraday_5min,0.591,0.226,True,-2.502
WIPRO,2026-06-02,18:21,Outcome of Board Meeting,intraday_5min,0.463,0.209,False,-0.877
HCLTECH,2025-07-14,17:37,Outcome of Board Meeting,daily_only,,,True,-1.84
HCLTECH,2025-10-13,17:44,Outcome of Board Meeting,daily_only,,,False,1.385
HCLTECH,2026-01-12,17:09,Outcome of Board Meeting,daily_only,,,False,1.043
HCLTECH,2026-04-21,18:01,Outcome of Board Meeting,intraday_5min,0.733,0.245,True,-6.675
TECHM,2025-07-16,16:10,Outcome of Board Meeting,daily_only,,,True,-1.524
TECHM,2025-10-14,18:19,Outcome of Board Meeting,daily_only,,,False,0.136
TECHM,2026-01-16,15:55,Outcome of Board Meeting,daily_only,,,False,1.167
TECHM,2026-04-22,13:51,Outcome of Board Meeting,intraday_5min,6.663,0.532,True,0.52
LTM,2025-05-30,14:46,Outcome of Board Meeting,daily_only,,,False,-0.254
LTM,2025-07-17,16:42,Outcome of Board Meeting,daily_only,,,False,0.857
LTM,2025-10-16,16:46,Outcome of Board Meeting,daily_only,,,True,2.268
LTM,2026-01-19,16:27,Outcome of Board Meeting,daily_only,,,True,-2.521
LTM,2026-04-23,16:51,Outcome of Board Meeting,intraday_5min,1.546,0.3,True,-2.019
MPHASIS,2025-07-24,23:50,Outcome of Board Meeting,daily_only,,,False,-1.225
MPHASIS,2025-10-31,00:01,Outcome of Board Meeting,daily_only,,,False,0.0
MPHASIS,2026-01-22,15:50,Outcome of Board Meeting,daily_only,,,False,1.345
MPHASIS,2026-04-29,23:38,Outcome of Board Meeting,intraday_5min,1.604,0.338,True,2.835
PERSISTENT,2025-06-06,20:10,Outcome of Board Meeting,daily_only,,,False,0.854
PERSISTENT,2025-07-23,16:29,Outcome of Board Meeting,daily_only,,,False,-1.436
PERSISTENT,2025-10-14,15:45,Outcome of Board Meeting,daily_only,,,True,3.449
PERSISTENT,2026-01-20,15:45,Outcome of Board Meeting,daily_only,,,False,-0.197
PERSISTENT,2026-04-21,15:34,Outcome of Board Meeting,intraday_5min,1.263,0.314,True,-2.103
PERSISTENT,2026-06-08,20:08,Outcome of Board Meeting,intraday_5min,1.016,0.263,True,1.579
COFORGE,2025-05-05,15:53,Outcome of Board Meeting,daily_only,,,True,4.702
COFORGE,2025-07-09,17:06,Reply to Clarification- Financial results,daily_only,,,False,0.243
COFORGE,2025-07-23,21:54,Outcome of Board Meeting,daily_only,,,False,-0.903
COFORGE,2025-09-22,21:37,Outcome of Board Meeting,daily_only,,,False,0.064
COFORGE,2025-10-24,16:10,Outcome of Board Meeting,daily_only,,,True,5.114
COFORGE,2025-12-26,17:22,Outcome of Board Meeting,daily_only,,,True,2.253
COFORGE,2026-01-22,23:35,Outcome of Board Meeting,daily_only,,,False,-0.818
COFORGE,2026-04-23,07:44,Outcome of Board Meeting,intraday_5min,2.206,0.298,True,-0.786
COFORGE,2026-05-05,16:25,Outcome of Board Meeting,intraday_5min,0.642,0.329,True,7.906
OFSS,2025-06-11,18:57,Outcome of Board Meeting,daily_only,,,False,1.222
OFSS,2025-07-23,19:23,Outcome of Board Meeting,daily_only,,,True,1.922
OFSS,2025-10-17,20:46,Outcome of Board Meeting,daily_only,,,False,-0.404
OFSS,2026-01-21,20:34,Outcome of Board Meeting,daily_only,,,True,2.232
OFSS,2026-02-25,21:23,Outcome of Board Meeting,daily_only,,,False,0.591
OFSS,2026-04-22,20:47,Outcome of Board Meeting,intraday_5min,1.12,0.381,True,3.734
KPITTECH,2025-05-06,10:07,Outcome of Board Meeting,daily_only,,,True,-2.368
KPITTECH,2025-07-30,14:14,Outcome of Board Meeting,daily_only,,,True,-2.255
KPITTECH,2025-08-08,16:08,Outcome of Board Meeting,daily_only,,,False,0.0
KPITTECH,2025-10-28,10:40,Outcome of Board Meeting,daily_only,,,False,0.034
KPITTECH,2025-11-10,12:44,Outcome of Board Meeting,daily_only,,,False,-0.738
KPITTECH,2026-01-29,12:29,Outcome of Board Meeting,daily_only,,,False,-0.652
KPITTECH,2026-05-06,12:45,Outcome of Board Meeting,intraday_5min,8.96,0.861,True,-0.007
MARUTI,2025-07-31,14:58,Outcome of Board Meeting,daily_only,,,False,-0.69
MARUTI,2025-10-31,14:19,Outcome of Board Meeting,daily_only,,,False,-1.05
MARUTI,2026-01-28,14:11,Outcome of Board Meeting,daily_only,,,False,-0.047
MARUTI,2026-04-28,14:41,Outcome of Board Meeting,intraday_5min,2.603,0.271,True,1.536
M&M,2025-05-05,11:49,Outcome of Board Meeting,daily_only,,,True,4.273
M&M,2025-07-11,20:42,Outcome of Board Meeting,daily_only,,,False,-0.013
M&M,2025-07-30,17:04,Outcome of Board Meeting,daily_only,,,False,0.502
M&M,2025-10-06,19:46,Outcome of Board Meeting,daily_only,,,False,-0.112
M&M,2025-11-04,13:25,Outcome of Board Meeting,daily_only,,,False,1.223
M&M,2025-11-13,00:22,Outcome of Board Meeting,daily_only,,,False,0.014
M&M,2026-02-11,11:51,Outcome of Board Meeting,daily_only,,,False,0.634
M&M,2026-05-05,12:22,Outcome of Board Meeting,intraday_5min,2.217,0.424,True,1.065
BAJAJ-AUTO,2025-05-29,18:00,Outcome of Board Meeting,daily_only,,,False,-0.982
BAJAJ-AUTO,2025-06-10,12:58,Clarification - Financial Results,daily_only,,,False,0.107
BAJAJ-AUTO,2025-08-06,12:17,Outcome of Board Meeting,daily_only,,,False,-1.327
BAJAJ-AUTO,2025-11-07,17:03,Outcome of Board Meeting,daily_only,,,False,0.843
BAJAJ-AUTO,2026-01-30,16:29,Outcome of Board Meeting,daily_only,,,True,1.99
BAJAJ-AUTO,2026-03-18,17:44,Outcome of Board Meeting,daily_only,,,True,-1.699
BAJAJ-AUTO,2026-05-06,18:27,Outcome of Board Meeting,intraday_5min,1.32,0.282,True,2.549
HEROMOTOCO,2025-05-13,14:42,Outcome of Board Meeting,daily_only,,,False,0.157
HEROMOTOCO,2025-08-06,18:01,Outcome of Board Meeting,daily_only,,,False,-1.003
HEROMOTOCO,2025-11-13,19:09,Outcome of Board Meeting,daily_only,,,False,0.236
HEROMOTOCO,2026-02-05,21:06,Outcome of Board Meeting,daily_only,,,False,0.104
HEROMOTOCO,2026-05-05,19:27,Outcome of Board Meeting,intraday_5min,1.092,0.246,True,2.564
EICHERMOT,2025-05-14,16:17,Outcome of Board Meeting,daily_only,,,False,0.982
EICHERMOT,2025-07-31,17:21,Outcome of Board Meeting,daily_only,,,True,1.509
EICHERMOT,2025-11-13,15:13,Outcome of Board Meeting,daily_only,,,False,-0.817
EICHERMOT,2026-02-10,16:41,Outcome of Board Meeting,daily_only,,,True,2.865
EICHERMOT,2026-05-22,16:51,Outcome of Board Meeting,intraday_5min,0.779,0.227,True,3.66
TVSMOTOR,2025-07-31,13:37,Outcome of Board Meeting,daily_only,,,False,0.828
TVSMOTOR,2025-10-28,14:53,Outcome of Board Meeting,daily_only,,,False,1.067
TVSMOTOR,2026-01-28,13:09,Outcome of Board Meeting,daily_only,,,False,-0.308
TVSMOTOR,2026-05-13,13:10,Outcome of Board Meeting,intraday_5min,4.06,0.498,True,0.471
ASHOKLEY,2025-05-23,15:06,Outcome of Board Meeting,daily_only,,,False,0.918
ASHOKLEY,2025-08-14,12:53,Outcome of Board Meeting,daily_only,,,,
ASHOKLEY,2025-11-12,14:03,Outcome of Board Meeting,daily_only,,,True,1.635
ASHOKLEY,2026-02-11,13:45,Outcome of Board Meeting,daily_only,,,False,0.024
ASHOKLEY,2026-05-28,15:04,Outcome of Board Meeting,intraday_5min,,,False,
MOTHERSON,2025-05-29,14:11,Outcome of Board Meeting,daily_only,,,True,1.913
MOTHERSON,2025-08-13,13:19,Outcome of Board Meeting,daily_only,,,False,-0.418
MOTHERSON,2025-11-13,14:56,Outcome of Board Meeting,daily_only,,,True,1.998
MOTHERSON,2026-02-10,13:56,Outcome of Board Meeting,daily_only,,,False,0.927
MOTHERSON,2026-05-20,14:29,Outcome of Board Meeting,intraday_5min,3.983,0.44,True,2.913
BOSCHLTD,2025-05-27,19:23,Outcome of Board Meeting,daily_only,,,False,-0.139
BOSCHLTD,2025-08-04,19:37,Outcome of Board Meeting,daily_only,,,False,0.073
BOSCHLTD,2025-11-11,14:21,Outcome of Board Meeting,daily_only,,,False,-0.191
BOSCHLTD,2026-01-12,17:36,Clarification - Financial Results,daily_only,,,False,0.226
BOSCHLTD,2026-02-06,19:01,Outcome of Board Meeting,daily_only,,,False,0.798
BOSCHLTD,2026-02-10,11:43,Reply to Clarification- Financial results,daily_only,,,False,0.014
BOSCHLTD,2026-02-17,18:08,Outcome of Board Meeting,daily_only,,,False,0.17
BOSCHLTD,2026-03-18,12:00,Outcome of Board Meeting,daily_only,,,True,-1.564
BOSCHLTD,2026-04-08,16:34,Outcome of Board Meeting,daily_only,,,False,0.682
BOSCHLTD,2026-05-20,17:42,Outcome of Board Meeting,intraday_5min,0.799,0.266,False,0.977
RELIANCE,2025-07-18,19:31,Outcome of Board Meeting,daily_only,,,False,-0.745
RELIANCE,2025-10-17,19:01,Outcome of Board Meeting,daily_only,,,True,1.637
RELIANCE,2026-01-16,19:09,Outcome of Board Meeting,daily_only,,,False,-0.501
RELIANCE,2026-04-24,19:26,Outcome of Board Meeting,intraday_5min,0.519,0.16,False,-1.115
ONGC,2025-05-21,21:52,Outcome of Board Meeting,daily_only,,,False,0.0
ONGC,2025-06-20,19:48,Outcome of Board Meeting,daily_only,,,False,0.437
ONGC,2025-07-22,15:32,Outcome of Board Meeting,daily_only,,,False,-0.149
ONGC,2025-08-12,22:13,Outcome of Board Meeting,daily_only,,,False,0.935
ONGC,2025-09-18,19:14,Outcome of Board Meeting,daily_only,,,False,-0.2
ONGC,2025-10-29,17:01,Outcome of Board Meeting,daily_only,,,False,0.328
ONGC,2025-11-10,22:18,Outcome of Board Meeting,daily_only,,,False,1.105
ONGC,2025-12-05,21:40,Outcome of Board Meeting,daily_only,,,False,0.0
ONGC,2026-02-12,21:27,Outcome of Board Meeting,daily_only,,,True,-2.296
ONGC,2026-05-26,20:58,Outcome of Board Meeting,intraday_5min,0.365,0.225,False,-1.148
BPCL,2025-08-13,15:43,Outcome of Board Meeting,daily_only,,,False,1.4
BPCL,2025-10-31,15:33,Outcome of Board Meeting,daily_only,,,False,1.427
BPCL,2026-01-23,18:19,Outcome of Board Meeting,daily_only,,,,
BPCL,2026-05-19,18:25,Outcome of Board Meeting,intraday_5min,0.54,0.246,True,-1.606
IOC,2025-08-14,14:13,Outcome of Board Meeting,daily_only,,,,
IOC,2025-10-27,16:11,Outcome of Board Meeting,daily_only,,,False,0.77
IOC,2026-02-05,13:30,Outcome of Board Meeting,daily_only,,,False,0.694
IOC,2026-05-18,21:43,Outcome of Board Meeting,intraday_5min,0.599,0.233,True,1.737
GAIL,2025-05-13,14:34,Outcome of Board Meeting,daily_only,,,False,0.639
GAIL,2025-07-28,18:16,Outcome of Board Meeting,daily_only,,,False,-0.736
GAIL,2025-10-31,14:26,Outcome of Board Meeting,daily_only,,,False,-0.175
GAIL,2026-05-21,18:35,Outcome of Board Meeting,intraday_5min,1.194,0.223,True,-1.86
HINDPETRO,2025-05-06,17:36,Outcome of Board Meeting,daily_only,,,False,-0.698
HINDPETRO,2025-08-07,17:16,Outcome of Board Meeting,daily_only,,,False,1.148
HINDPETRO,2025-10-29,18:44,Outcome of Board Meeting,daily_only,,,False,0.245
HINDPETRO,2026-01-21,17:25,Outcome of Board Meeting,daily_only,,,False,0.151
HINDPETRO,2026-05-13,12:01,Outcome of Board Meeting,intraday_5min,2.082,0.514,True,-0.333
PETRONET,2025-05-19,17:38,Outcome of Board Meeting,daily_only,,,False,-0.895
PETRONET,2025-07-25,18:58,Outcome of Board Meeting,daily_only,,,False,-1.377
PETRONET,2025-11-07,16:25,Outcome of Board Meeting,daily_only,,,False,-0.902
PETRONET,2026-02-12,17:45,Outcome of Board Meeting,daily_only,,,True,-1.784
PETRONET,2026-05-04,16:17,Outcome of Board Meeting,intraday_5min,0.866,0.278,False,1.193
TATASTEEL,2025-05-12,19:20,Outcome of Board Meeting,daily_only,,,False,0.25
TATASTEEL,2025-07-30,17:59,Outcome of Board Meeting,daily_only,,,False,-0.223
TATASTEEL,2025-11-12,18:01,Outcome of Board Meeting,daily_only,,,True,3.018
TATASTEEL,2026-02-06,16:36,Outcome of Board Meeting,daily_only,,,True,2.507
TATASTEEL,2026-03-17,18:41,Outcome of Board Meeting,daily_only,,,False,0.496
TATASTEEL,2026-05-15,17:44,Outcome of Board Meeting,intraday_5min,0.669,0.314,True,-2.693
JSWSTEEL,2025-05-23,15:52,Outcome of Board Meeting,daily_only,,,False,0.069
JSWSTEEL,2025-07-18,15:27,Outcome of Board Meeting,daily_only,,,True,1.605
JSWSTEEL,2025-09-17,14:54,Outcome of Board Meeting,daily_only,,,False,0.081
JSWSTEEL,2025-10-17,14:52,Outcome of Board Meeting,daily_only,,,False,0.971
JSWSTEEL,2026-01-23,15:29,Outcome of Board Meeting,daily_only,,,,
JSWSTEEL,2026-05-14,15:32,Outcome of Board Meeting,intraday_5min,0.791,0.268,False,1.319
HINDALCO,2025-05-20,14:17,Outcome of Board Meeting,daily_only,,,False,0.656
HINDALCO,2025-08-12,14:21,Outcome of Board Meeting,daily_only,,,False,0.892
HINDALCO,2025-11-07,13:42,Outcome of Board Meeting,daily_only,,,False,0.202
HINDALCO,2026-02-12,17:06,Outcome of Board Meeting,daily_only,,,True,-4.236
HINDALCO,2026-05-22,17:22,Outcome of Board Meeting,intraday_5min,1.159,0.227,False,0.072
VEDL,2025-05-30,17:37,Outcome of Board Meeting,daily_only,,,False,-0.387
VEDL,2025-07-31,14:39,Outcome of Board Meeting,daily_only,,,False,-0.14
VEDL,2025-10-31,14:41,Outcome of Board Meeting,daily_only,,,True,1.723
VEDL,2026-01-29,16:02,Outcome of Board Meeting,daily_only,,,False,-1.483
