Symbol,Name,TopPick_Rank,Passed,Score,Grade,Price,MCap_Cr,PE,PEG,ROE_%,ROCE_%,OPM_%,DebtEquity,PromoterHold_%,Pledge_%,SalesGr3Y_%,ProfitGr3Y_%,FCF_Cr,SL,Target_1Y,Target_3Y,Target_5Y,52W_High,52W_Low,Dist_52H_%,Range_Pos_%,Tech_Signal,Momentum,Entry_Quality,FailReasons
GLAXO,Glaxosmithkline Pharmaceutical,11,True,12,✅ BUY,2282.0,38665.0,37.9,1.97,48.4,65.1,,0.01,75.0,,5.5,19.2,1300.0,1825.6,2852.5,3416.5,4099.8,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:5.5(need >12.0)
HDFCAMC,HDFC Asset Management Company ,,True,12,✅ BUY,2740.0,117373.0,41.1,1.57,32.9,42.9,,0.0,52.37,,18.5,26.2,1885.0,2192.0,3425.0,4693.6,5632.4,,,,,N/A,N/A,❌ AVOID,MCap:117373.0(₹200-100000cr)
JSWDULUX,JSW Dulux Ltd,17,True,12,✅ BUY,2910.0,13210.0,30.5,0.38,32.6,38.2,,0.03,61.2,,-1.8,80.6,897.0,2328.0,3637.5,7564.9,9077.9,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:-1.8(need >12.0)
JYOTICNC,Jyoti CNC Automation Ltd,8,True,12,✅ BUY,660.0,15010.0,42.4,0.25,21.2,24.4,,0.4,62.55,,30.6,169.9,-434.0,528.0,825.0,1716.2,2059.4,,,,,N/A,N/A,❌ AVOID,FCF:-434.0(need>0)
LUPIN,Lupin Ltd,13,True,12,✅ BUY,2266.0,103567.0,18.0,0.14,29.1,30.3,,0.29,46.85,,18.9,128.6,3469.0,1812.8,2832.5,5890.8,7068.9,,,,,N/A,N/A,❌ AVOID,MCap:103567.0(₹200-100000cr)
MAZDOCK,Mazagon Dock Shipbuilders Ltd,,True,12,✅ BUY,2460.0,99163.0,38.4,1.2,29.2,36.0,,0.05,81.22,,18.4,32.1,-1682.0,1968.0,3075.0,4698.6,5638.4,,,,,N/A,N/A,❌ AVOID,FCF:-1682.0(need>0)
NBCC,NBCC (India) Ltd,,True,12,✅ BUY,95.6,25801.0,39.0,1.01,24.1,31.0,,0.0,61.75,,13.2,38.7,0.0,76.5,119.5,205.2,246.3,,,,,N/A,N/A,❌ AVOID,FCF:0(need>0)
NMDC,NMDC Ltd,,True,12,✅ BUY,90.7,79733.0,11.6,1.61,23.6,29.6,,0.11,60.79,,16.2,7.2,2200.0,72.6,113.4,106.2,127.5,,,,,N/A,N/A,❌ AVOID,ProfG3Y%:7.2(need >12.0)
NATIONALUM,National Aluminium Company Ltd,16,True,12,✅ BUY,416.0,76441.0,13.2,0.22,29.4,39.6,,0.0,51.28,,7.8,59.3,2238.0,332.8,520.0,1081.6,1297.9,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:7.8(need >12.0)
OFSS,Oracle Financial Services Soft,,True,12,✅ BUY,9882.0,86072.0,32.6,2.41,32.6,45.3,,0.0,72.44,,10.4,13.5,3574.0,7905.6,12352.5,13197.9,15837.5,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:10.4(need >12.0)
POLYCAB,Polycab India Ltd,,True,12,✅ BUY,9614.0,144763.0,54.2,1.92,24.5,34.3,,0.02,61.5,,27.0,28.3,961.0,7691.2,12017.5,14219.8,17063.8,,,,,N/A,N/A,❌ AVOID,MCap:144763.0(₹200-100000cr)
UNITDSPR,United Spirits Ltd,,True,12,✅ BUY,1293.0,94010.0,51.5,2.91,21.4,27.5,,0.05,56.68,,5.5,17.7,1031.0,1034.4,1616.2,1642.3,1970.8,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:5.5(need >12.0)
WAAREEENER,Waaree Energies Ltd,6,True,12,✅ BUY,3088.0,88810.0,22.6,0.23,32.8,38.8,,0.22,64.19,,57.8,98.0,-2326.0,2470.4,3860.0,8027.8,9633.3,,,,,N/A,N/A,❌ AVOID,FCF:-2326.0(need>0)
ABB,ABB India Ltd,5,True,11,✅ BUY,6804.0,144201.0,94.7,0.54,22.4,29.9,,0.01,75.0,,19.8,176.4,1584.0,5443.2,8505.0,8405.2,10086.2,,,,,N/A,N/A,❌ AVOID,MCap:144201.0(₹200-100000cr)
BAJAJ-AUTO,Bajaj Auto Ltd,,True,11,✅ BUY,10593.0,296064.0,27.5,1.35,29.1,28.2,,0.58,55.01,,19.9,20.4,-4437.0,8474.4,13241.2,16237.0,19484.4,,,,,N/A,N/A,❌ AVOID,FCF:-4437.0(need>0) | MCap:296064.0(₹200-100000cr)
BPCL,Bharat Petroleum Corporation L,,True,11,✅ BUY,305.0,132151.0,5.05,0.04,28.8,25.7,,0.54,52.98,,-1.3,129.7,24702.0,244.0,381.2,792.9,951.5,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:-1.3(need >12.0) | MCap:132151.0(₹200-100000cr)
BLUEJET,Blue Jet Healthcare Ltd,,True,11,✅ BUY,500.0,8646.0,61.4,,52.1,57.3,,0.16,79.81,,,,78.0,400.0,625.0,504.4,605.2,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:N/A | ProfG3Y%:N/A
CHAMBLFERT,Chambal Fertilisers & Chemical,,True,11,✅ BUY,478.0,19151.0,9.8,0.42,20.4,25.5,,0.1,61.25,,-9.2,23.6,0.0,382.4,597.5,779.5,935.4,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:-9.2(need >12.0) | FCF:0(need>0)
CHENNPETRO,Chennai Petroleum Corporation ,,True,11,✅ BUY,1020.0,15186.0,4.89,,32.1,35.1,,0.18,67.29,,-5.9,-4.2,2015.0,816.0,1275.0,926.6,1111.9,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:-5.9(need >12.0) | ProfG3Y%:-4.2(need >12.0)
COLPAL,Colgate-Palmolive (India) Ltd,2,True,11,✅ BUY,2077.0,56526.0,131.0,3.02,158.0,179.0,,0.02,51.0,,14.9,43.4,433.0,1661.6,2596.2,1661.0,1993.3,,,,,N/A,N/A,❌ AVOID,
GABRIEL,Gabriel India Ltd,,True,11,✅ BUY,1098.0,15772.0,60.6,,22.2,28.4,,0.08,55.02,,,,55.0,878.4,1372.5,1122.7,1347.3,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:N/A | ProfG3Y%:N/A
HEXT,Hexaware Technologies Ltd,,True,11,✅ BUY,508.0,31046.0,21.2,1.8,24.9,30.1,,0.11,74.3,,10.1,11.8,825.0,406.4,635.0,655.1,786.1,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:10.1(need >12.0) | ProfG3Y%:11.8(need >12.0)
HAL,Hindustan Aeronautics Ltd,,True,11,✅ BUY,4428.0,296093.0,32.5,2.02,24.0,32.0,,0.0,71.64,,7.1,16.1,2569.0,3542.4,5535.0,6233.7,7480.4,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:7.1(need >12.0) | MCap:296093.0(₹200-100000cr)
PIDILITIND,Pidilite Industries Ltd,,True,11,✅ BUY,1478.0,150514.0,61.2,2.53,23.9,31.0,,0.04,69.32,,7.4,24.2,1604.0,1182.4,1847.5,1792.4,2150.9,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:7.4(need >12.0) | MCap:150514.0(₹200-100000cr)
TBOTEK,TBO Tek Ltd,,True,11,✅ BUY,1215.0,13187.0,56.4,3.13,24.6,26.7,,0.52,44.4,,29.4,18.0,-154.0,972.0,1518.8,1417.2,1700.7,,,,,N/A,N/A,❌ AVOID,FCF:-154.0(need>0)
TATAELXSI,Tata Elxsi Ltd,19,True,11,✅ BUY,4336.0,27013.0,265.0,6.19,39.3,60.0,,0.0,43.9,,16.4,42.8,114.0,3468.8,5420.0,1697.1,2036.5,,,,,N/A,N/A,❌ AVOID,
TENNIND,Tenneco Clean Air India Ltd,,True,11,✅ BUY,611.0,24666.0,43.7,,42.6,57.3,,0.03,74.79,,,,535.0,488.8,763.8,841.2,1009.4,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:N/A | ProfG3Y%:N/A
ZYDUSLIFE,Zydus Lifesciences Ltd,,True,11,✅ BUY,1079.0,108568.0,20.0,0.57,21.2,21.2,,0.46,75.0,,16.3,34.8,-6179.0,863.2,1348.8,2163.5,2596.3,,,,,N/A,N/A,❌ AVOID,FCF:-6179.0(need>0) | MCap:108568.0(₹200-100000cr)
ASIANPAINT,Asian Paints Ltd,,True,10,✅ BUY,2647.0,254033.0,62.3,,20.6,25.7,,0.18,52.63,,0.2,-2.3,3483.0,2117.6,3308.8,1814.8,2177.8,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:0.2(need >12.0) | ProfG3Y%:-2.3(need >12.0) | MCap:254033.0(₹200-100000cr)
CRISIL,CRISIL Ltd,,True,10,✅ BUY,4016.0,29365.0,35.0,4.17,24.5,32.6,,0.1,66.64,,7.4,8.4,489.0,3212.8,5020.0,4823.7,5788.5,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:7.4(need >12.0) | ProfG3Y%:8.4(need >12.0)
COALINDIA,Coal India Ltd,,True,10,✅ BUY,458.0,282345.0,9.08,,28.5,35.3,,0.12,63.13,,6.8,-0.7,9260.0,366.4,572.5,450.8,541.0,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:6.8(need >12.0) | ProfG3Y%:-0.7(need >12.0) | MCap:282345.0(₹200-100000cr)
CONCORDBIO,Concord Biotech Ltd,,True,10,✅ BUY,1139.0,11898.0,37.8,4.2,21.3,28.2,,0.0,44.08,,10.8,9.0,85.0,911.2,1423.8,1385.5,1662.6,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:10.8(need >12.0) | ProfG3Y%:9.0(need >12.0)
EMAMILTD,Emami Ltd,,True,10,✅ BUY,404.0,17613.0,22.5,3.08,27.9,29.6,,0.06,54.84,,3.5,7.3,620.0,323.2,505.0,474.2,569.0,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:3.5(need >12.0) | ProfG3Y%:7.3(need >12.0)
HINDUNILVR,Hindustan Unilever Ltd,,True,10,✅ BUY,2209.0,518894.0,47.5,3.37,22.3,28.4,,0.03,61.9,,2.1,14.1,7315.0,1767.2,2761.2,2829.6,3395.6,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:2.1(need >12.0) | MCap:518894.0(₹200-100000cr)
HINDZINC,Hindustan Zinc Ltd,,True,10,✅ BUY,647.0,273461.0,19.8,2.06,76.8,69.6,,0.39,60.71,,6.2,9.6,8102.0,517.6,808.8,797.1,956.6,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:6.2(need >12.0) | ProfG3Y%:9.6(need >12.0) | MCap:273461.0(₹200-100000cr)
LTTS,L&T Technology Services Ltd,,True,10,✅ BUY,3541.0,37545.0,27.8,15.44,21.5,26.7,,0.09,73.57,,7.6,1.8,1012.0,2832.8,4426.2,3686.2,4423.5,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:7.6(need >12.0) | ProfG3Y%:1.8(need >12.0)
LICI,Life Insurance Corporation of ,,True,10,✅ BUY,855.0,540821.0,9.41,0.56,37.8,35.1,,0.0,96.5,,7.6,16.9,0.0,684.0,1068.8,1223.1,1467.7,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:7.6(need >12.0) | FCF:0(need>0) | MCap:540821.0(₹200-100000cr)
SCHAEFFLER,Schaeffler India Ltd,,True,10,✅ BUY,4196.0,65642.0,54.0,5.09,20.2,27.3,,0.01,74.13,,11.7,10.6,949.0,3356.8,5245.0,4398.5,5278.2,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:11.7(need >12.0) | ProfG3Y%:10.6(need >12.0)
TCS,Tata Consultancy Services Ltd,,True,10,✅ BUY,2276.0,823710.0,15.7,2.96,51.8,63.0,,0.11,71.77,,5.8,5.3,40208.0,1820.8,2845.0,2558.4,3070.1,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:5.8(need >12.0) | ProfG3Y%:5.3(need >12.0) | MCap:823710.0(₹200-100000cr)
BRITANNIA,Britannia Industries Ltd,,True,9,⚠️  WATCH,5338.0,128660.0,50.8,16.39,53.6,56.0,,0.27,50.55,,5.5,3.1,1855.0,4270.4,6672.5,5066.1,6079.4,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:5.5(need >12.0) | ProfG3Y%:3.1(need >12.0) | MCap:128660.0(₹200-100000cr)
HCLTECH,HCL Technologies Ltd,,True,9,⚠️  WATCH,1162.0,315071.0,18.2,4.67,24.0,30.6,,0.07,60.86,,8.7,3.9,18502.0,929.6,1452.5,1267.1,1520.5,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:8.7(need >12.0) | ProfG3Y%:3.9(need >12.0) | MCap:315071.0(₹200-100000cr)
HYUNDAI,Hyundai Motor India Ltd,,True,9,⚠️  WATCH,1884.0,152596.0,28.1,5.73,29.9,38.4,,0.05,82.5,,5.5,4.9,5380.0,1507.2,2355.0,2099.6,2519.5,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:5.5(need >12.0) | ProfG3Y%:4.9(need >12.0) | MCap:152596.0(₹200-100000cr)
LTM,LTM Ltd,,True,9,⚠️  WATCH,3970.0,117765.0,21.8,5.19,23.1,29.6,,0.1,68.52,,8.4,4.2,3195.0,3176.0,4962.5,4357.1,5228.5,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:8.4(need >12.0) | ProfG3Y%:4.2(need >12.0) | MCap:117765.0(₹200-100000cr)
MARICO,Marico Ltd,,True,9,⚠️  WATCH,830.0,107609.0,61.1,5.5,43.0,47.2,,0.13,58.93,,11.7,11.1,1362.0,664.0,1037.5,776.8,932.1,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:11.7(need >12.0) | ProfG3Y%:11.1(need >12.0) | MCap:107609.0(₹200-100000cr)
NESTLEIND,Nestle India Ltd,,True,9,⚠️  WATCH,1429.0,275440.0,80.9,15.26,74.3,85.4,,0.09,62.76,,6.6,5.3,4424.0,1143.2,1786.2,893.3,1071.9,,,,,N/A,N/A,❌ AVOID,SalesG3Y%:6.6(need >12.0) | ProfG3Y%:5.3(need >12.0) | MCap:275440.0(₹200-100000cr)
SOLARINDS,Solar Industries India Ltd,,True,9,⚠️  WATCH,18479.0,167203.0,99.7,3.45,31.5,36.8,,0.24,73.15,,12.5,28.9,-543.0,14783.2,23098.8,15024.8,18029.8,,,,,N/A,N/A,❌ AVOID,FCF:-543.0(need>0) | MCap:167203.0(₹200-100000cr)
CGPOWER,CG Power & Industrial Solution,,True,8,⚠️  WATCH,879.0,138422.0,113.0,14.87,20.8,27.0,,0.01,56.36,,21.2,7.6,-2903.0,703.2,1098.8,413.4,496.1,,,,,N/A,N/A,❌ AVOID,ProfG3Y%:7.6(need >12.0) | FCF:-2903.0(need>0) | MCap:138422.0(₹200-100000cr)
