date,entry_time,exit_time,symbol,direction,strike,entry_price,exit_price,pnl_pts,pnl_rs,gross_pnl_rs,net_pnl_rs,peak_pnl,exit_reason,dte,candles_held,session,sl_pts,vix_at_entry,entry_mode,bias,hourly_rsi,brokerage,stt,exchange_charges,gst,stamp_duty,total_charges,num_exit_orders,qty_exited,entry_slippage,exit_slippage,lot_id,entry_ema9_high,entry_ema9_low,exit_ema9_high,exit_ema9_low,entry_band_position,exit_band_position,entry_body_pct,xleg_signal,xleg_other_close,xleg_other_ema9l,xleg_other_dying,xleg_other_margin,spike_close,spike_target,spike_fill,spike_wait_used
2026-05-07,12:34:35,12:38:06,NIFTY2651224350PE,PE,24350,169.3,156.45,-12.85,-1670.5,-1670.5,-1757.59,11.1,EMERGENCY_SL,0,5,,0,16.9,CLOSE_FILL,SIDEWAYS,65.4,40.0,12.71,22.44,11.24,0.66,87.09,1,130,0,0,ALL,193.11,164.88,193.11,164.88,IN,BELOW,43.5,PASS,181.7,186.59,True,-4.89,0.0,0.0,0.0,0.0
2026-05-07,12:45:35,12:46:30,NIFTY2651224450CE,CE,24450,203.35,191.1,-12.25,-1592.5,-1592.5,-1688.14,3.75,EMERGENCY_SL,0,2,,0,16.6,CLOSE_FILL,SIDEWAYS,65.4,40.0,15.53,27.18,12.09,0.79,95.64,1,130,0,0,ALL,160.17,127.79,160.17,127.79,ABOVE,ABOVE,74.9,PASS,161.55,187.73,True,-26.18,0.0,0.0,0.0,0.0
2026-05-07,12:51:35,12:51:36,NIFTY2651224450CE,CE,24450,203.35,173.85,-29.5,-3835.0,-3835.0,-3927.84,0.0,EMERGENCY_SL,0,1,,0,16.7,CLOSE_FILL,SIDEWAYS,69.7,40.0,14.13,25.99,11.88,0.79,92.84,1,130,0,0,ALL,160.17,127.79,160.17,127.79,ABOVE,ABOVE,74.9,PASS,178.05,178.26,True,-0.21,0.0,0.0,0.0,0.0
2026-05-07,13:00:36,13:06:39,NIFTY2651224400PE,PE,24400,176.6,162.9,-13.7,-1781.0,-1781.0,-1869.77,4.95,EMERGENCY_SL,0,7,,0,16.8,CLOSE_FILL,SIDEWAYS,67.3,40.0,13.24,23.39,11.41,0.69,88.77,1,130,0,0,ALL,210.81,169.94,210.81,169.94,IN,BELOW,80.7,PASS,183.1,184.09,True,-0.99,0.0,0.0,0.0,0.0
2026-05-07,13:15:35,13:19:45,NIFTY2651224400PE,PE,24400,178.25,202.25,24.0,3120.0,3120.0,3024.68,37.75,VISHAL_TRAIL,0,5,,0,16.9,CLOSE_FILL,SIDEWAYS,67.3,40.0,16.43,26.22,11.92,0.7,95.32,1,130,0,0,ALL,205.49,168.23,205.49,168.23,IN,IN,7.2,FAIL,183.65,183.09,False,0.56,0.0,0.0,0.0,0.0
2026-05-07,13:30:35,13:42:56,NIFTY2651224400PE,PE,24400,195.2,195.2,0.0,0.0,0.0,-95.61,13.2,VISHAL_TRAIL,0,13,,0,16.8,CLOSE_FILL,SIDEWAYS,67.3,40.0,15.86,26.9,12.04,0.76,95.61,1,130,0,0,ALL,207.59,168.9,207.59,168.9,IN,IN,38.2,PASS,189.15,193.57,True,-4.42,0.0,0.0,0.0,0.0
2026-05-07,13:48:35,14:10:58,NIFTY2651224350PE,PE,24350,170.75,158.6,-12.15,-1579.5,-1579.5,-1667.07,5.6,EMERGENCY_SL,0,23,,0,16.8,CLOSE_FILL,SIDEWAYS,63.7,40.0,12.89,22.69,11.28,0.67,87.57,1,130,0,0,ALL,181.79,150.0,181.79,150.0,IN,IN,4.6,FAIL,189.0,185.63,False,3.37,0.0,0.0,0.0,0.0
2026-05-07,12:54:36,14:10:58,NIFTY2651224400PE,PE,24400,172.1,184.1,12.0,1560.0,1560.0,1468.16,29.2,VISHAL_TRAIL,,0,,0,0,V8_LOCK_12,,0,0,,,,,,,130,0,0,ALL,,,,,,,,,,,,,,,,
2026-05-07,14:16:35,14:22:43,NIFTY2651224350PE,PE,24350,164.45,164.45,0.0,0.0,0.0,-87.98,14.25,VISHAL_TRAIL,0,7,,0,16.8,CLOSE_FILL,SIDEWAYS,63.7,40.0,13.36,22.66,11.28,0.64,87.98,1,130,0,0,ALL,179.91,153.04,179.91,153.04,IN,IN,10.1,FAIL,187.75,186.0,False,1.75,0.0,0.0,0.0,0.0
2026-05-07,14:30:36,14:39:58,NIFTY2651224350CE,CE,24350,194.95,182.9,-12.05,-1566.5,-1566.5,-1660.09,6.45,EMERGENCY_SL,0,10,,0,16.8,CLOSE_FILL,SIDEWAYS,63.7,40.0,14.86,26.03,11.89,0.76,93.59,1,130,0,0,ALL,208.87,180.78,208.87,180.78,IN,IN,31.8,PASS,156.35,159.25,True,-2.9,0.0,0.0,0.0,0.0
2026-05-07,14:45:35,14:55:29,NIFTY2651224350PE,PE,24350,177.45,165.4,-12.05,-1566.5,-1566.5,-1655.74,4.55,EMERGENCY_SL,0,11,,0,16.8,CLOSE_FILL,SIDEWAYS,63.7,40.0,13.44,23.62,11.45,0.69,89.24,1,130,0,0,ALL,179.88,152.54,179.88,152.54,IN,IN,71.2,PASS,178.2,183.44,True,-5.24,0.0,0.0,0.0,0.0
2026-05-07,14:16:35,14:56:35,NIFTY2651224350PE,PE,24350,164.45,164.45,0.0,0.0,0.0,-87.98,12.95,VISHAL_TRAIL,,0,,0,0,V8_LOCK_BE,,0,0,,,,,,,130,0,0,ALL,,,,,,,,,,,,,,,,
