timestamp,strike,type,open,high,low,close,volume,spot_ref,atm_distance,dte,session_block,body_pct,adx,rsi,ema9,ema21,ema_spread,ema9_gap,volume_ratio,ema9_high,ema9_low,fwd_3c,fwd_6c,fwd_9c,fwd_outcome
2026-05-13 09:42:00,23300,PE,225.4,225.45,207.75,212.65,2757170,23321.95,22.0,6,OPEN,72.0,27.3,67.2,199.92,185.08,14.84,12.73,0.89,206.18,188.19,,,,
2026-05-13 09:45:00,23300,CE,265.9,274.8,257.2,257.8,1233180,23297.75,2.0,6,OPEN,46.0,28.9,30.1,275.67,297.1,-21.43,17.87,1.11,290.15,269.83,,,,
2026-05-13 09:45:00,23300,PE,212.65,225,204.65,224.8,2829255,23297.75,2.0,6,OPEN,59.7,27.0,71.0,204.89,188.69,16.2,19.91,0.85,209.94,191.48,,,,
2026-05-13 09:48:00,23350,CE,231.1,242.45,230.55,240.5,281970,23328.0,22.0,6,OPEN,79.0,27.7,35.2,246.75,266.02,-19.27,6.25,0.37,257.74,240.39,,,,
2026-05-13 09:48:00,23350,PE,247.8,250,238.4,240.55,659880,23328.0,22.0,6,OPEN,62.5,26.3,66.1,229.57,212.6,16.97,10.98,0.32,236.13,217.91,,,,
2026-05-13 09:51:00,23350,CE,240.5,272.85,240.5,272.85,1338090,23370.8,21.0,6,OPEN,100.0,26.5,49.6,251.97,266.64,-14.67,20.88,2.06,260.76,240.42,,,,
2026-05-13 09:51:00,23350,PE,240.55,240.55,212.8,215.1,1438970,23370.8,21.0,6,OPEN,91.7,24.5,53.1,226.68,212.83,13.85,11.58,0.93,237.01,216.89,,,,
2026-05-13 09:54:00,23350,CE,272.85,288.3,270.4,276.15,1343225,23363.0,13.0,6,OPEN,18.4,26.1,50.8,256.81,267.5,-10.7,19.34,1.87,266.27,246.41,,,,
2026-05-13 09:54:00,23350,PE,215.1,218.45,203.05,217.3,1739335,23363.0,13.0,6,OPEN,14.3,23.5,54.0,224.8,213.23,11.57,7.5,1.43,233.3,214.12,,,,
2026-05-13 09:57:00,23350,CE,276.15,277.95,263.45,275.15,717080,23362.4,12.0,6,MORNING,6.9,25.3,50.4,260.48,268.2,-7.72,14.67,0.83,268.6,249.82,,,,
2026-05-13 09:57:00,23350,PE,217.3,230.15,212.4,214.95,1651195,23362.4,12.0,6,MORNING,13.2,21.8,52.9,222.83,213.39,9.44,7.88,1.33,232.67,213.78,,,,
2026-05-13 10:00:00,23400,CE,248.95,258.5,237.1,247.85,1849445,23377.35,23.0,6,MORNING,5.1,26.3,50.4,236.98,242.01,-5.03,10.87,1.16,244.87,226.75,,,,
2026-05-13 10:00:00,23400,PE,236.15,246,226,234.95,1807650,23377.35,23.0,6,MORNING,6.0,20.8,51.4,243.92,236.41,7.51,8.97,1.21,254.77,234.64,,,,
