timestamp,strike,type,open,high,low,close,volume,spot_ref,atm_distance,dte,session_block,body_pct,adx,rsi,ema9,ema21,ema_spread,ema9_gap,volume_ratio,ema9_high,ema9_low,fwd_3c,fwd_6c,fwd_9c,fwd_outcome
2026-05-05 09:39:00,24000,CE,92.95,92.95,64,67.5,12856480,24010.9,11.0,0,OPEN,87.9,35.0,31.8,98.48,132.43,-33.96,30.98,0.73,114.5,85.7,55.3,53.7,33.05,LOSS
2026-05-05 09:39:00,24000,PE,45.25,62,45.1,58.25,25792455,24010.9,11.0,0,OPEN,76.9,24.1,52.5,51.83,52.74,-0.91,6.42,1.07,60.6,44.05,64.45,61.95,88.05,WIN
2026-05-05 09:42:00,24000,CE,67.5,79.8,65.9,69.75,11017175,24017.9,18.0,0,OPEN,16.2,35.7,32.5,92.73,126.74,-34.0,22.98,0.66,107.56,81.74,59.4,44.3,28.5,LOSS
2026-05-05 09:42:00,24000,PE,58.25,58.8,47.15,53.3,18568095,24017.9,18.0,0,OPEN,42.5,23.6,49.8,52.13,52.79,-0.66,1.17,0.83,60.24,44.67,58.8,69,99,WIN
2026-05-05 09:45:00,24050,CE,46.4,51.35,41.55,49.75,10235745,24025.1,25.0,0,OPEN,34.2,36.3,32.4,63.37,94.07,-30.7,13.62,0.7,73.71,55.07,62.95,38.15,29.65,LOSS
2026-05-05 09:45:00,24050,PE,79.85,85.8,72.85,74.15,6182540,24025.1,25.0,0,OPEN,44.0,29.5,49.6,76.29,74.86,1.42,2.14,0.61,86.51,67.19,55,78.4,93.9,WIN
2026-05-05 09:48:00,24050,CE,50.35,58.1,46.2,48.9,13809900,24037.0,13.0,0,OPEN,12.2,36.5,32.2,60.48,89.97,-29.49,11.58,1.08,70.59,53.3,53.7,33.05,26.65,LOSS
2026-05-05 09:48:00,24050,PE,73.65,77.35,61.8,69.65,7540715,24037.0,13.0,0,OPEN,25.7,28.5,47.8,74.96,74.39,0.57,5.31,0.82,84.68,66.11,61.95,88.05,97.95,WIN
2026-05-05 09:51:00,24050,CE,49.15,67.8,46.55,67.8,14032655,24051.75,2.0,0,OPEN,87.8,36.1,40.1,61.94,87.95,-26.01,5.86,1.1,70.03,51.95,44.3,28.5,28.45,LOSS
2026-05-05 09:51:00,24050,PE,69.15,71.9,54.25,54.25,7386275,24051.75,2.0,0,OPEN,84.4,27.0,42.0,70.82,72.56,-1.74,16.57,0.8,82.12,63.74,69,99,91,WIN
