date_added,symbol,direction,option_symbol,strike,expiry,lot_size,entry_premium,sl_premium,t1_premium,t2_premium,stock_price,stock_sl,pcr,max_pain,score,rank,current_premium,current_return_pct,last_checked,status,lots,investment,pnl_rs
2026-05-29,BAJAJFINSV,CALL,BAJAJFINSV26JUN1800CE,1800.0,2026-06-30,250,55.85,36.3,83.8,100.5,1809.2,1751.5,1.0,1820.0,6,28,48.75,-12.7,2026-05-29,OPEN (-12.7%),1.0,13962.0,-1775.0
2026-05-29,PETRONET,CALL,PETRONET26JUN277.5CE,277.5,2026-06-30,1900,9.85,6.4,14.8,17.7,277.55,266.1,1.28,280.0,7,29,5.9,-40.1,2026-05-29,SL-HIT ❌,1.0,18715.0,-7505.0
2026-05-29,NTPC,CALL,NTPC26JUN397.5CE,397.5,2026-06-30,1500,9.35,6.1,14.0,16.8,397.1,384.5,0.51,397.5,6,30,6.0,-35.8,2026-05-29,SL-HIT ❌,1.0,14025.0,-5025.0
2026-05-29,JUBLFOOD,PUT,JUBLFOOD26JUN430PE,430.0,2026-06-30,1250,14.3,9.3,21.5,25.7,428.9,453.5,0.78,440.0,6,31,13.0,-9.1,2026-05-29,OPEN (-9.1%),1.0,17875.0,-1625.0
2026-05-29,ICICIGI,CALL,ICICIGI26JUN1820CE,1820.0,2026-06-30,325,65.65,42.7,98.5,118.2,1827.7,1762.5,1.06,1860.0,6,32,41.9,-36.2,2026-05-29,SL-HIT ❌,1.0,21336.0,-7719.0
2026-05-29,BSE,CALL,BSE26JUN4200CE,4200.0,2026-06-30,375,173.0,112.5,259.5,311.4,4179.2,3991.3,0.84,4200.0,6,33,167.9,-2.9,2026-05-29,OPEN (-2.9%),1.0,64875.0,-1912.0
2026-05-29,MAZDOCK,PUT,MAZDOCK26JUN2480PE,2480.0,2026-06-30,200,91.15,59.2,136.7,164.1,2489.1,2597.8,0.6,2480.0,6,34,109.55,20.2,2026-05-29,OPEN (+20.2%),1.0,18230.0,3680.0
2026-05-29,ONGC,PUT,ONGC26JUN272.5PE,272.5,2026-06-30,2250,7.0,4.5,10.5,12.6,271.35,282.7,0.77,280.0,6,35,10.0,42.9,2026-05-29,OPEN (+42.9%),1.0,15750.0,6750.0
2026-05-29,INFY,PUT,INFY26JUN1200PE,1200.0,2026-06-30,400,32.75,21.3,49.1,59.0,1205.0,1248.1,0.62,1190.0,7,36,53.7,64.0,2026-05-29,T1-HIT ✅,1.0,13100.0,8380.0
2026-05-29,LTM,PUT,LTM26JUN4150PE,4150.0,2026-06-30,150,155.25,100.9,232.9,279.4,4126.8,4324.2,0.54,4000.0,7,37,195.3,25.8,2026-05-29,OPEN (+25.8%),1.0,23288.0,6008.0
2026-05-29,TVSMOTOR,PUT,TVSMOTOR26JUN3420PE,3420.0,2026-06-30,175,86.9,56.5,130.4,156.4,3426.5,3586.1,1.0,3460.0,6,38,122.2,40.6,2026-05-29,OPEN (+40.6%),1.0,15208.0,6177.0
2026-05-29,BEL,PUT,BEL26JUN415PE,415.0,2026-06-30,1425,9.55,6.2,14.3,17.2,415.8,430.9,0.92,420.0,6,39,11.65,22.0,2026-05-29,OPEN (+22.0%),1.0,13609.0,2992.0
2026-05-29,TATACONSUM,CALL,TATACONSUM26JUN1190CE,1190.0,2026-06-30,550,39.45,25.6,59.2,71.0,1193.7,1151.0,0.84,1200.0,6,40,33.0,-16.3,2026-05-29,OPEN (-16.3%),1.0,21698.0,-3548.0
2026-05-29,RECLTD,PUT,RECLTD26JUN335PE,335.0,2026-06-30,1400,7.9,5.1,11.9,14.2,337.05,350.1,0.87,340.0,6,41,7.05,-10.8,2026-05-29,OPEN (-10.8%),1.0,11060.0,-1190.0
2026-05-29,ETERNAL,CALL,ETERNAL26JUN252.5CE,252.5,2026-06-30,2425,11.08,7.2,16.6,19.9,253.18,241.4,0.91,255.0,6,42,10.54,-4.9,2026-05-29,OPEN (-4.9%),1.0,26869.0,-1310.0
2026-05-29,GAIL,CALL,GAIL26JUN164CE,164.0,2026-06-30,3150,5.5,3.6,8.2,9.9,164.37,157.4,0.8,166.0,6,43,5.5,0.0,2026-05-29,OPEN (+0.0%),1.0,17325.0,0.0
2026-05-29,JSWSTEEL,CALL,JSWSTEEL26JUN1280CE,1280.0,2026-06-30,675,43.45,28.2,65.2,78.2,1278.3,1238.1,0.91,1290.0,6,44,46.0,5.9,2026-05-29,OPEN (+5.9%),1.0,29329.0,1721.0
2026-05-29,CIPLA,CALL,CIPLA26JUN1400CE,1400.0,2026-06-30,375,37.05,24.1,55.6,66.7,1402.8,1358.8,0.87,1420.0,6,45,30.15,-18.6,2026-05-29,OPEN (-18.6%),1.0,13894.0,-2587.0
2026-05-29,APOLLOHOSP,CALL,APOLLOHOSP26JUN8150CE,8150.0,2026-06-30,125,263.4,171.2,395.1,474.1,8165.0,7915.9,0.89,8300.0,6,46,258.75,-1.8,2026-05-29,OPEN (-1.8%),1.0,32925.0,-581.0
